Rank,Formula,Avg Voltage (V),Capacity (mAh/g),Energy Density (Wh/L),Gravimetric Energy (Wh/kg),Stability Charge (eV),Stability Discharge (eV),Overall Score
1,Li0-1CoO2,3.79,273.84,5110.51,1037.78,0.0081,0.0,0.6708364522076382
2,Li0-1CrO2,4.059,294.73,4919.11,1196.4,0.1914,0.0016,0.66603793955454
3,Li0-1CrO2,4.045,294.73,4889.23,1192.2,0.1846,0.0,0.665265627336011
4,Li0-1CoO2,3.808,273.84,4890.2,1042.86,0.0573,0.0323,0.6624105397249078
5,Li0-1CuO2,3.941,261.51,4891.08,1030.64,0.1645,0.068,0.6569457833343766
6,Li0-2Co21O40,3.632,265.84,4759.67,965.43,0.0487,0.0366,0.6566219869522502
7,Li0-3Cr(CoO3)2,3.689,280.47,4507.9,1034.61,0.0863,0.0583,0.6509249978519802
8,Li0-1CuO,3.592,309.89,4504.42,1113.15,0.5894,0.0,0.6489571734007094
9,Li0-4TiCo3O8,3.534,281.81,4317.96,995.94,0.0856,0.0709,0.6450732301802484
10,Li0-1MnO2,3.665,285.49,4206.91,1046.34,0.1681,0.0153,0.6419230937567313
11,Li0-2CuPO4,3.894,310.92,4008.82,1210.8,0.1234,0.0658,0.6413468356215558
12,Li2-14MgCo13O28,3.739,240.81,4326.22,900.29,0.028,0.0079,0.6384138933612239
13,Li0-2CrPO5,4.069,303.1,3885.93,1233.23,0.1004,0.0931,0.6356733311935023
14,Li0-2CoPHO5,4.05,290.07,3721.06,1174.92,0.0719,0.0614,0.628747521219187
15,Li0-5Mn2(PO4)3,4.018,312.01,3481.3,1253.55,0.0464,0.0503,0.626894290189459
16,Li2-5Mn2CoO8,3.942,242.54,3763.0,956.21,0.1263,0.0482,0.6185902931071136
17,Li0-3TiCo3O8,3.684,215.28,3774.02,793.01,0.0613,0.0654,0.6137184092042852
18,Li0-2MnPHO5,3.519,296.48,3057.0,1043.34,0.0227,0.0551,0.6105257385217844
19,Li4-14Co13O28,3.775,204.39,3661.99,771.58,0.049,0.0164,0.6089431091412637
20,Li0-6Mn3(PO4)4,4.151,274.26,3209.37,1138.33,0.1334,0.0811,0.6076831297816276
21,Li0-0.67CoO2,4.301,186.98,3757.31,804.15,0.1403,0.0489,0.6056470875157508
22,Li0-3Mn3CoO8,3.768,215.81,3543.44,813.1,0.1642,0.099,0.604043762663887
23,Li1-4Co3CuO8,3.768,202.99,3490.09,764.81,0.1118,0.0659,0.601126464363192
24,Li1-5Co2(PO4)3,4.236,245.05,3176.72,1037.98,0.091,0.0808,0.6009133700274256
25,Li0-4MnCo5O12,4.215,188.29,3489.17,793.63,0.0208,0.0,0.6007822641144632
26,Li0-2CrWO6,4.296,155.05,3784.54,666.06,0.1899,0.07,0.5979748176209189
27,Li0-2Co(CO3)2,4.366,277.98,2769.73,1213.53,0.1144,0.0258,0.5962169410307768
28,Li0-4CrCo5O12,4.02,189.27,3423.58,760.85,0.1067,0.0661,0.5960613847345467
29,Li0-6CoCu3(PO4)4,3.725,239.62,2993.71,892.48,0.0335,0.0763,0.5951637676288049
30,Li0-4Cr2(PO4)3,3.889,257.29,2854.43,1000.61,0.0629,0.042,0.5948823290469096
31,Li0-1CrO3,3.713,250.63,3318.7,930.64,0.4022,0.4094,0.5944130339744229
32,Li0-1.25CoO2,3.199,336.34,5161.46,1075.86,0.0678,0.1009,0.5934130289950919
33,Li1-5Mn2(PO4)3,3.862,249.61,2813.78,963.9,0.0159,0.0392,0.5928365062856799
34,Li0-4TiCo5O12,3.809,190.66,3239.74,726.2,0.0658,0.0617,0.5915004806536577
35,Li0-2Cr(CoO3)2,3.843,191.62,3240.78,736.39,0.0897,0.078,0.5909831068902184
36,Li0-8TiMn3(PO4)6,3.877,255.85,2697.83,991.87,0.0518,0.0833,0.5890975592687111
37,Li0-2Mn(CO3)2,3.903,283.86,2496.71,1107.88,0.0959,0.0526,0.5888618211453946
38,Li0-7Cr3Co(PO4)6,4.286,225.13,2849.54,964.93,0.0864,0.0744,0.5864380503674775
39,Li0-1MnBO3,4.069,222.07,2870.96,903.66,0.2233,0.0,0.5852284780114311
40,Li1-3CoPCO7,4.147,228.35,2721.21,946.87,0.0532,0.0393,0.5844583556387649
41,Li0-2Mn2CoO6,3.926,192.34,3038.32,755.05,0.1323,0.0759,0.5840567244353986
42,Li1-3Cr2CoO6,3.685,191.61,2979.5,706.11,0.0926,0.0251,0.5837809037401444
43,Li0-2.5CoCu(PO4)2,4.0,203.18,2886.42,812.63,0.0585,0.0668,0.583332071473519
44,Li2.5-5Mn3O8,3.621,204.58,2823.87,740.89,0.0838,0.0384,0.5817541126746566
45,Li0-4Mn2V3O12,3.924,222.21,2649.54,871.99,0.0751,0.0331,0.5805433953889979
46,Li1-3Mn(PO4)2,4.493,201.74,2792.3,906.44,0.0768,0.0282,0.5804584366556931
47,Li0-2MnP2O7,4.248,220.8,2644.62,937.93,0.0726,0.0375,0.580036841881868
48,Li0-2MnP2O7,4.028,220.8,2566.17,889.39,0.0081,0.0203,0.5791450139743566
49,Li0-9Mn15O32,4.329,172.48,2949.87,746.66,0.1014,0.0059,0.5787554868873575
50,Li0-4Mn2Co5O12,3.598,171.72,2980.46,617.8,0.0911,0.0777,0.5783679374304174
