Rank,Formula,Band Gap (eV),Density (g/cc),E Above Hull (eV),Overall Score
1,Li2Ni(WO4)2,0.0,6.682,0.0016,0.8435965074819619
2,LiNi3O4,0.0,5.905,0.0,0.8324489738622646
3,LiNi2O3,0.0,5.597,0.0018,0.8118019034784806
4,LiLa2FeO6,0.755,6.482,0.0,0.809417224297059
5,Li2PbO3,1.044,7.013,0.0,0.8093081107346857
6,LiCoO2,0.0,5.148,0.0006,0.8071962716527695
7,Li2Ti2Sb2O,0.0,4.935,0.0,0.8052163171341138
8,Ba6Li2Ta9Ti7O42,0.0,6.55,0.0069,0.8045572868412926
9,Li3Ni5O8,0.0,5.397,0.0021,0.8041869227097896
10,LiNiO2,0.0,4.889,0.0001,0.8032582048906484
11,LiMn2TeO6,0.012,4.875,0.0,0.8029082843220569
12,Li2Ni3TeO8,0.0,4.935,0.0004,0.8025496504674471
13,Li2Ni3TeO8,0.0,4.939,0.0006,0.8013286167494876
14,LiCoNiO4,0.0,4.792,0.0,0.8012016058844998
15,LiNi3O4,0.101,5.655,0.0031,0.7995154648408658
16,Li2MnCo3O8,0.0,4.636,0.0,0.7968219208849211
17,LiNiO2,0.018,4.635,0.0,0.7958585381089031
18,Li2Ni3TeO8,0.208,4.941,0.0,0.7945767644787126
19,LiV3Zn2O8,0.0,4.599,0.0003,0.7937831494427132
20,LiNi2O3,0.0,5.333,0.0034,0.793723462197142
21,Li4Mn3Ni3(TeO8)2,0.106,4.904,0.0013,0.7901714043121609
22,Li4MnCo5O12,0.0,4.396,0.0,0.7900839439624919
23,Li2FeCo3O8,0.0,4.553,0.001,0.7878250371992476
24,LiVO2,0.0,4.254,0.0,0.7860973076167214
25,Li2CoO3,0.0,4.242,0.0,0.7857604087705999
26,Li(NiO2)2,0.331,4.85,0.0001,0.7849640111024319
27,LiTiO2,0.0,4.185,0.0,0.7841601392515231
28,Li4Mn3Cr3O12,0.0,4.177,0.0,0.7839355400207754
29,LiNi3O4,0.0,5.669,0.0067,0.7811566298885427
30,Li4Mn3Sn5O16,0.014,5.203,0.0047,0.7806795963524683
31,Li2V3CoO8,0.0,4.04,0.0,0.7800892781942221
32,LiVCrO4,0.0,4.136,0.0005,0.7794511356298605
33,LiMnNiO4,0.205,4.384,0.0,0.7790949276832709
34,Li2CoNi3O8,0.062,4.734,0.0027,0.7783516454574225
35,Li4Cr3FeO8,0.024,4.132,0.0007,0.7767584255182539
36,LiCoO2,0.662,5.121,0.0,0.7760397041723531
37,LiYb(PO3)4,0.004,3.836,0.0,0.7741541516163409
38,LiMnO2,0.0,4.244,0.0019,0.7731498919116202
39,LiTi2O4,0.0,3.741,0.0,0.7716948819450294
40,Li4Ni7O11,0.0,5.237,0.0065,0.7703616047615037
41,Li2Co3SbO8,0.817,5.193,0.0,0.7700070572386895
42,LiNiAsO4,0.0,4.408,0.0032,0.76908750947528
43,Li6Ti7Cr5O24,0.0,3.773,0.0006,0.7685932788680199
44,Li7Ti11O24,0.0,3.624,0.0,0.7684101181953452
45,Li10Ti11Cr9O40,0.0,3.777,0.0007,0.7680389118167271
46,Li2FeNiO4,0.0,4.464,0.0037,0.7673263707571802
47,Li2FeO3,0.065,3.864,0.0008,0.7664372611349215
48,Li2Ni3SbO8,0.661,4.941,0.0007,0.7663715163623187
49,Li(CoO2)2,0.666,4.783,0.0,0.7663425404794489
50,Li2Mn3CoO8,0.387,4.244,0.0,0.7657074393265332
