Formula,Avg Voltage (V),Capacity (mAh/g),Energy Density (Wh/L),Gravimetric Energy (Wh/kg),Stability Charge (eV),Stability Discharge (eV),capacity_score,energy_score,voltage_score,stability_score,Overall Score,Rank,Supply Chain Score,Recyclability Score,CathodeAI Score,CathodeAI Rank,Solid State Score,SS Compatibility,CathodeAI Final Score,Final Rank,Cost per kWh ($/kWh),Cost Score,CathodeAI Economic Score,Economic Rank,Thermal Safety Score,Onset Temp (°C),CathodeAI Safety Score,Safety Rank,Estimated Cycles,Cycle Life Category,Cycle Life Score,CathodeAI Complete Score
Li0-1CuO2,3.941,261.51,4891.08,1030.64,0.1645,0.068,0.2350715075462709,0.5086852609530387,1.0,0.9704821877459817,0.6569457833343766,5,0.75,0.85,0.889646754564731,1,1.0,['✅ Voltage within sulfide electrolyte window'],0.9117174036517848,1,12.0,0.7333333333333334,0.9091812996238832,1,0.75,400,0.869621386072172,1,320,Poor (<500),0.12872083668543846,0.8270927524499707
Li0-1CuO,3.592,309.89,4504.42,1113.15,0.5894,0.0,0.27856032072774994,0.4684715979174511,1.0,0.9251707589569104,0.6489571734007094,8,0.75,0.85,0.8836925388185698,2,1.0,['✅ Voltage within sulfide electrolyte window'],0.9069540310548558,2,12.0,0.7333333333333334,0.9050133486015702,2,0.75,400,0.8660488566244753,2,180,Poor (<500),0.07240547063555913,0.8212998762743963
Li0-2CuPO4,3.894,310.92,4008.82,1210.8,0.1234,0.0658,0.27948618839159706,0.4169278866454363,1.0,0.9759794835335043,0.6413468356215558,11,0.75,0.575,0.8092702637401146,5,1.0,['✅ Voltage within sulfide electrolyte window'],0.8474162109920915,3,12.0,0.7333333333333334,0.8460427560466516,4,0.9,550,0.836395491577402,3,484,Poor (<500),0.19469026548672566,0.7983279784777269
Li0-0.33CuO,4.066,109.14,2705.47,443.8,0.3354,0.0513,0.09810601634201371,0.281376038206412,1.0,0.9509052129091232,0.5515750974837955,162,0.75,0.85,0.8111099625464832,4,1.0,['⚠️ Voltage near sulfide electrolyte limit'],0.8488879700371865,4,12.0,0.7333333333333334,0.8542055452111097,3,0.75,400,0.8224993108612233,4,162,Poor (<500),0.06516492357200322,0.7846465607851751
Li0-5Mn3Cu(PO4)4,3.524,208.43,2429.71,734.4,0.0166,0.0566,0.18735786133558657,0.25269626859307304,1.0,0.9907066500774446,0.5712543434234352,70,0.7,0.5833333333333334,0.7466109886347926,22,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.7972887909078341,5,8.0,0.8222222222222222,0.8011395968062596,17,0.85,450,0.8001888154030977,11,1109,Good (1000-2000),0.4460981496379727,0.7799159573548504
Li0-1MnO2,3.665,285.49,4206.91,1046.34,0.1681,0.0153,0.25662714500166295,0.4375297707573681,1.0,0.9767158418607014,0.6419230937567313,10,0.7,0.6,0.8034497709123015,6,1.0,"['✅ Voltage within sulfide electrolyte window', '⚠️ Mn may cause interfacial resistance with sulfides']",0.8427598167298413,6,8.0,0.8222222222222222,0.844914839638611,5,0.65,300,0.8142920847696031,5,633,Moderate (500-1000),0.25462590506838295,0.7791784029317921
Li0-5Mn2(PO4)3,4.018,312.01,3481.3,1253.55,0.0464,0.0503,0.2804659900941149,0.3620644109186138,1.0,0.9877231292689739,0.626894290189459,15,0.7,0.44999999999999996,0.7547482302701567,13,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.8037985842161253,7,8.0,0.8222222222222222,0.8070737611891096,14,0.85,450,0.8050711603843161,6,943,Moderate (500-1000),0.3793242156074014,0.7773125481376706
Li0-2Mn3CuO8,4.251,144.78,2588.8,615.47,0.0744,0.0187,0.1301428353124129,0.2692420495177398,1.0,0.9881801792651652,0.5615353505731999,103,0.7,0.725,0.7747837191540933,9,0.9999999999999999,"['⚠️ Voltage near sulfide electrolyte limit', '⚠️ Mn may cause interfacial resistance with sulfides']",0.8198269753232745,8,8.0,0.8222222222222222,0.8244021748364366,7,0.7,300,0.802092453714678,9,732,Moderate (500-1000),0.2944489139179405,0.7749615274951657
Li0-1CuPO4,4.134,161.98,2545.97,669.68,0.0055,0.0389,0.14560392639801523,0.26478761619695607,1.0,0.9943630500469746,0.5649917239656368,90,0.75,0.575,0.7523598861028797,18,1.0,['⚠️ Voltage near sulfide electrolyte limit'],0.8018879088823037,9,12.0,0.7333333333333334,0.8062054917005872,15,0.9,550,0.8022492649950611,8,639,Moderate (500-1000),0.2570394207562349,0.7729902474225849
Li0-1CuPO4,4.011,161.98,2468.97,649.73,0.0,0.0518,0.14560392639801523,0.2567794124682532,1.0,0.993423558388137,0.5624483390982004,101,0.75,0.575,0.7504642043319603,19,1.0,['⚠️ Voltage near sulfide electrolyte limit'],0.8003713634655683,10,12.0,0.7333333333333334,0.8048785144609436,16,0.9,550,0.8011118559325096,10,629,Moderate (500-1000),0.25301689460981497,0.7718412802298042
