Formula,Structure Family,Metal,Oxidation State,n_Li,n_M,n_O,Avg Voltage (V),Capacity (mAh/g),Empirical ED (Wh/L),Stability Charge (eV),Stability Discharge (eV),Predicted ED 4-feature RF (Wh/L),Reduced formula,Original query formula,in_db_correct,ehull_meV_correct,n_entries_correct,mp_id_correct,in_db_orig,ehull_meV_orig,n_entries_orig,mp_id_orig,Formal M oxidation state as queried (orig),in_16510_struct_set
Li2FeO2,layered,Fe,2,2,1,2,3.5,300.0,3150.0,0.02,0.02,3678.781899999998,Li2FeO2,LiFeO2,True,2.024537500000534,4,mp-aaabqzac,True,0.0,9,mp-aaabrcta,3.0,True
Li2Fe2O3,layered,Fe,2,2,2,3,3.5,300.0,3150.0,0.02,0.02,3678.781899999998,Li2Fe2O3,LiFe2O3,False,,0,,True,27.34540291666665,5,mp-aaacvwxs,2.5,False
LiFeO2,layered,Fe,3,1,1,2,3.8,282.74,3223.25,0.02,0.02,3884.078899999999,LiFeO2,LiFeO2,True,0.0,9,mp-aaabrcta,True,0.0,9,mp-aaabrcta,3.0,True
Li2Fe2O4,layered,Fe,3,2,2,4,3.8,282.74,3223.25,0.02,0.02,3884.078899999999,LiFeO2,LiFe2O4,True,0.0,9,mp-aaabrcta,True,32.37830128571595,11,mp-aaaablok,3.5,True
Li3FeO3,layered,Fe,3,3,1,3,3.8,300.0,3420.0,0.02,0.02,3818.2801999999974,Li3FeO3,LiFeO3,True,45.708424107144374,5,mp-aaabrwjm,True,131.20334543333632,6,mp-aaabrhmv,5.0,True
Li2MnO2,layered,Mn,2,2,1,2,3.5,300.0,3150.0,0.02,0.02,3678.781899999998,Li2MnO2,LiMnO2,True,27.874728000001348,3,mp-aaaabcnn,True,0.0,24,mp-aaabqyjg,3.0,True
Li2Mn2O3,layered,Mn,2,2,2,3,3.5,300.0,3150.0,0.02,0.02,3678.781899999998,Li2Mn2O3,LiMn2O3,True,87.6611814285715,1,mp-aaabrauk,True,43.09335625000088,3,mp-aaadphza,2.5,True
LiMnO2,layered,Mn,3,1,1,2,3.5,285.48,2997.56,0.02,0.02,3801.6372999999994,LiMnO2,LiMnO2,True,0.0,24,mp-aaabqyjg,True,0.0,24,mp-aaabqyjg,3.0,True
Li2Mn2O4,layered,Mn,3,2,2,4,3.5,285.48,2997.56,0.02,0.02,3801.6372999999994,LiMnO2,LiMn2O4,True,0.0,24,mp-aaabqyjg,True,0.0,14,mp-aaacukwa,3.5,True
Li3MnO3,layered,Mn,3,3,1,3,3.5,300.0,3150.0,0.02,0.02,3678.781899999998,Li3MnO3,LiMnO3,True,16.778587142857404,3,mp-aaabrayq,True,183.92001396665947,1,mp-aaacltzl,5.0,True
Li2MnO3,layered,Mn,4,2,1,3,4.0,300.0,3600.0,0.02,0.02,3780.3818999999953,Li2MnO3,LiMnO3,True,0.0,7,mp-aaaabcci,True,183.92001396665947,1,mp-aaacltzl,5.0,True
Li2Mn2O5,layered,Mn,4,2,2,5,4.0,263.06,3156.77,0.02,0.02,3326.261100000002,Li2Mn2O5,LiMn2O5,False,,0,,False,,0,,4.5,False
